ID: Gender, Age Category, Forgetfulness(%), Occupation, WorkPlace, Mask, Closed Relations
00045, Female, Children, 8%, Student, Primary, false, [05091 | 02621 | 01838 | 04368]
00046, Male, Senior Citizen, 48%, Retired, null, false, [09162 | 04453 | 03275]
00047, Male, Children, 7%, Student, Secondary, false, [03351 | 08805 | 04532 | 05432]
00048, Female, Senior Citizen, 25%, Retired, null, false, [00162 | 02815 | 02161]
00049, Female, Children, 26%, Student, Primary, false, [00534 | 07710 | 07704]
00050, Male, Children, 14%, Student, Secondary, false, [03192]
00051, Male, Adult, 49%, Baker, IKEY, false, [07852 | 06340]
00052, Male, Senior Citizen, 41%, Retired, null, false, [08413 | 07863 | 04773 | 03053 | 09688 | 00783 | 05902]
00053, Female, Children, 13%, Student, Secondary, false, [03069 | 01975]
00054, Female, Adult, 36%, Clerk, Library, false, [08841 | 02397 | 03592]
00055, Male, Senior Citizen, 36%, Retired, null, false, [08622 | 08453 | 00192 | 03684 | 00457]
00056, Female, Senior Citizen, 59%, Retired, null, false, [01569 | 00719 | 03838]
00057, Female, Children, 24%, Student, Secondary, false, [00010 | 01992 | 09264 | 08111]
00058, Male, Children, 21%, Student, Primary, false, [08503 | 07707]
00059, Female, Senior Citizen, 36%, Retired, null, false, [08847 | 07420 | 02004]
00060, Female, Children, 5%, Student, Secondary, false, [06033 | 05241 | 04946]
00061, Male, Senior Citizen, 68%, Retired, null, false, [03845 | 00478 | 00377 | 00036 | 00617 | 09974 | 09700]
00062, Female, Adult, 11%, Housemaker, null, false, [09102 | 08934 | 00098 | 09920 | 06756]
00063, Male, Senior Citizen, 29%, Retired, null, false, [05214 | 01002 | 09778 | 03687]
00064, Female, Children, 24%, Student, Secondary, false, [09062 | 04929 | 03785 | 07859 | 00816 | 00679]
00065, Female, Children, 28%, Student, Secondary, false, [04968 | 05581 | 03085]
00066, Male, Children, 11%, Student, Kindergarden, false, [06309 | 07044 | 00018]
00067, Male, Senior Citizen, 64%, Retired, null, false, [06782 | 00617]
00068, Male, Children, 3%, Student, Secondary, false, [00632]
00069, Male, Senior Citizen, 64%, Retired, null, false, [01347 | 09835]
00070, Male, Senior Citizen, 32%, Retired, null, false, [00979 | 04985 | 09928 | 01543]
00071, Male, Senior Citizen, 44%, Retired, null, false, [08574 | 08043 | 01143 | 00304 | 00537 | 09728]
00072, Female, Children, 10%, Student, Secondary, false, [08221 | 00610 | 03780 | 00388]
00073, Female, Children, 14%, Student, Secondary, false, [08633 | 05724 | 01977 | 04545 | 04905 | 04929]
00074, Male, Senior Citizen, 51%, Retired, null, false, [07627 | 07120 | 02385 | 05251 | 01686]
00075, Male, Adult, 7%, Barista, IKEY, false, [08464 | 05889]
00076, Male, Children, 5%, Student, Secondary, false, [08123]
00077, Female, Adult, 16%, Accountant, RHP, false, [02627 | 08623 | 08126 | 01252]
00078, Male, Adult, 44%, Firefighter, Fire Station, false, [09219 | 06738 | 04672]
00079, Male, Children, 18%, Student, Secondary, false, [08857 | 06632 | 06253]
00080, Female, Senior Citizen, 33%, Retired, null, false, [02311 | 07755 | 02601 | 00736]
00081, Male, Adult, 21%, Firefighter, Fire Station, false, [05122 | 02198 | 09441 | 06569 | 08615]
00082, Male, Adult, 20%, Cashier, Clinic, true, [03411 | 07587 | 02090 | 05221 | 09209]
00083, Male, Senior Citizen, 41%, Retired, null, false, [09670 | 09474 | 02632 | 02624]
00084, Male, Adult, 29%, Housemaker, null, false, [02586 | 09838 | 09728 | 09767 | 09766]
00085, Male, Senior Citizen, 26%, Retired, null, false, [09013 | 05387 | 03007 | 07605 | 09528 | 08966]
00086, Male, Senior Citizen, 39%, Retired, null, false, [08431 | 09503 | 03127]
00087, Male, Senior Citizen, 37%, Retired, null, false, [09571 | 01184 | 03847 | 00781]
00088, Female, Senior Citizen, 52%, Retired, null, false, [04806 | 04050 | 08743 | 00868 | 03181]
00089, Male, Adult, 47%, Housemaker, null, false, [06895 | 03952 | 00175]
00090, Female, Children, 7%, Student, Secondary, false, [06360 | 02908]
00091, Female, Adult, 41%, Cashier, MRT Station, false, [07910 | 00010 | 09009]
00092, Male, Adult, 14%, Clerk, Airport, true, [09159 | 06802 | 02571]
00093, Female, Children, 13%, Student, Secondary, false, [07486 | 05736 | 06509]
00094, Female, Senior Citizen, 36%, Retired, null, false, [06246 | 06105 | 04154 | 01770 | 00036 | 03006]
00095, Female, Senior Citizen, 34%, Retired, null, false, [09953 | 08817 | 04297]
00096, Female, Senior Citizen, 16%, Retired, null, false, [05001 | 00959]
00097, Female, Adult, 24%, Housemaker, null, false, [00431 | 01846 | 05274]
00098, Male, Adult, 41%, Chef, 2 Akhir, false, [01463 | 00062 | 03633]
00099, Female, Children, 18%, Student, Secondary, false, [06457 | 07212 | 04667 | 02553]
00100, Male, Children, 21%, Student, Primary, false, [07304 | 00918 | 01896]
00101, Male, Adult, 15%, Technician, KTM Station, false, [07177 | 04155 | 02597 | 06139 | 01650]
00102, Female, Children, 19%, Student, Secondary, false, [04830 | 04326 | 04254 | 05254 | 04128 | 02207]
00103, Female, Adult, 32%, Waiter, MoonBucks, false, [03101 | 06113]
00104, Male, Adult, 17%, Policeman, Police Station, false, [00610]
00105, Female, Children, 10%, Student, Kindergarden, false, [08703 | 00186 | 09406 | 07527 | 01292 | 04093]
00106, Male, Adult, 36%, Firefighter, Fire Station, false, [09851 | 06357]
00107, Female, Children, 16%, Student, Primary, false, [06767 | 05963 | 02011 | 08563 | 04267 | 02054 | 08053]
00108, Female, Children, 10%, Student, Secondary, false, [02806 | 02879]
00109, Male, Adult, 26%, Chef, Moonlings, false, [01349 | 09379 | 04065 | 02291]
00110, Female, Children, 16%, Student, Primary, false, [04609 | 04185 | 01661 | 02177]
00111, Female, Children, 11%, Student, Primary, false, [03437 | 00186 | 01465]
00112, Male, Children, 24%, Student, Kindergarden, false, [04018 | 02446]
00113, Female, Adult, 43%, Accountant, AccSol, false, [02953 | 05374]
00114, Female, Senior Citizen, 23%, Retired, null, false, [03934 | 08251 | 05110 | 00210]
00115, Female, Adult, 14%, Housemaker, null, false, [09834 | 05617 | 03197]
00116, Male, Adult, 21%, Cashier, FoodCourt, false, [04844]
00117, Male, Senior Citizen, 68%, Retired, null, false, [06490 | 02321 | 00161 | 02475]
00118, Female, Senior Citizen, 16%, Retired, null, false, [04936 | 04081 | 03153 | 01153 | 03456 | 00793]
00119, Male, Adult, 15%, Technician, Petrocad, false, [08293 | 02235 | 07746 | 09055]
00120, Male, Children, 12%, Student, Secondary, false, [08420 | 05164 | 00174 | 01738 | 08099 | 09439]
00121, Female, Adult, 8%, Housemaker, null, false, [04346 | 03332 | 00380 | 09577]
00122, Female, Adult, 20%, Baker, IKEY, false, [08493 | 02037]
00123, Female, Adult, 13%, Manager, Moonlings, false, [02282 | 07735 | 06214 | 08283]
00124, Male, Adult, 37%, Cashier, 2 Akhir, false, []
00125, Male, Children, 2%, Student, Secondary, false, [06700 | 06548 | 06518 | 04262 | 03581 | 01854]
00126, Male, Children, 6%, Student, Secondary, false, [01351 | 08721]
00127, Female, Adult, 19%, Firefighter, Fire Station, false, [06116 | 05323 | 01961 | 01552]
00128, Female, Children, 26%, Student, Kindergarden, false, [05022 | 02408 | 01814 | 01126 | 02967 | 06370]
00129, Male, Adult, 26%, Baker, 2 Akhir, false, [09416 | 06901 | 06805 | 01195 | 06366]
00130, Female, Adult, 27%, Technician, Airport, true, [08363 | 09778 | 04240]
00131, Male, Senior Citizen, 67%, Retired, null, false, [03426 | 01143 | 09165]
00132, Female, Children, 7%, Student, Secondary, false, [06912 | 08313]
00133, Female, Senior Citizen, 60%, Retired, null, false, [04684 | 00543 | 01347 | 04395 | 00028]
00134, Male, Children, 26%, Student, Secondary, false, [05530 | 02077]
00135, Male, Adult, 48%, Teacher, Secondary, false, [04993 | 00916 | 05645]
00136, Male, Adult, 17%, Baker, MoonBucks, false, [08717 | 05898]
00137, Male, Senior Citizen, 30%, Retired, null, false, [07346 | 06362 | 03637 | 01928 | 02437 | 05268]
00138, Male, Senior Citizen, 47%, Retired, null, false, [03204 | 08966 | 09716]
00139, Male, Senior Citizen, 43%, Retired, null, false, [09063 | 02442 | 01015]
00140, Male, Children, 23%, Student, Secondary, false, [03664 | 02453 | 00944]
00141, Male, Senior Citizen, 11%, Retired, null, false, [03794 | 03233 | 01095 | 00275 | 03313]
00142, Female, Children, 11%, Student, Secondary, false, [07599 | 06959 | 03269 | 02111]
00143, Male, Adult, 34%, Clerk, JJPTRv2, false, [02894 | 05483 | 01273]
00144, Male, Adult, 8%, Manager, JJPTRv2, false, [00795 | 00022 | 03923 | 02587]
00145, Female, Adult, 37%, Chef, Moonlings, false, []
00146, Female, Children, 24%, Student, Secondary, false, [07658 | 07861 | 07512 | 03905 | 07488]
00147, Female, Children, 3%, Student, Primary, false, [04872 | 03220 | 05438 | 00491 | 08109]
00148, Male, Children, 29%, Student, Kindergarden, false, [05867 | 02095]
00149, Male, Children, 3%, Student, Secondary, false, [06135 | 03827 | 01422 | 01290 | 02033 | 06326 | 02555]
00150, Male, Children, 27%, Student, Secondary, false, [07704 | 06351 | 04171 | 07280 | 06229]
00151, Male, Children, 2%, Student, Secondary, false, [06668 | 01886]
00152, Male, Adult, 26%, Shopping Centre Retailer, 2 Akhir, false, [01514 | 01430]
00153, Male, Adult, 33%, Engineer, Orange, false, [01882 | 04884 | 03568]
00154, Male, Senior Citizen, 41%, Retired, null, false, [06982 | 06561 | 00212 | 00277 | 09655]
00155, Female, Senior Citizen, 56%, Retired, null, false, [04229 | 03357 | 03274 | 02002 | 00841 | 09709]
00156, Female, Children, 12%, Student, Secondary, false, [02992]
00157, Male, Senior Citizen, 51%, Retired, null, false, [03164 | 02172 | 00968 | 03672]
00158, Female, Children, 20%, Student, Primary, false, [04676 | 04102 | 03647 | 06708 | 07315 | 04715]
00159, Female, Senior Citizen, 44%, Retired, null, false, [07757 | 01629 | 03407 | 02133 | 09895 | 02855]
00160, Male, Adult, 11%, Accountant, JJPTRv2, false, [03779 | 01141]
00161, Male, Senior Citizen, 44%, Retired, null, false, [00976 | 03082 | 02091 | 00117]
00162, Female, Senior Citizen, 44%, Retired, null, false, [05727 | 00048]
00163, Male, Adult, 8%, Technician, Petrocad, false, [01157 | 09675 | 03328 | 07653]
00164, Female, Senior Citizen, 41%, Retired, null, false, [02337 | 09535]
00165, Female, Adult, 35%, Barista, Moonlings, false, [06646 | 06790 | 01603 | 05810 | 03807]
00166, Male, Senior Citizen, 34%, Retired, null, false, [09685 | 08897 | 07018 | 02153 | 01572 | 09944]
00167, Female, Senior Citizen, 20%, Retired, null, false, [08995 | 08803 | 08330]
00168, Female, Senior Citizen, 59%, Retired, null, false, [09068 | 01323 | 07181 | 02223 | 02945]
00169, Female, Children, 0%, Student, Secondary, false, [09263 | 06937 | 05646 | 08805]
00170, Male, Adult, 23%, Medic, Clinic, true, []
00171, Male, Adult, 26%, Waiter, FoodCourt, false, [06352]
00172, Male, Senior Citizen, 39%, Retired, null, false, [09810 | 07342 | 04022]
00173, Male, Children, 0%, Student, Secondary, false, [08366 | 07083 | 05805 | 02000 | 07008]
00174, Male, Children, 30%, Student, Secondary, false, [07626 | 03335 | 00120]
00175, Male, Senior Citizen, 15%, Retired, null, false, [04984 | 00089]
00176, Female, Children, 10%, Student, Primary, false, [04715 | 07586 | 08744 | 02658]
00177, Male, Adult, 47%, Firefighter, Fire Station, false, [01578 | 05572 | 03942 | 07110 | 01151]
00178, Female, Children, 2%, Student, Secondary, false, [05456 | 02517 | 00376 | 00611 | 03531 | 08641 | 02653]
00179, Female, Senior Citizen, 42%, Retired, null, false, [09337 | 07065 | 01713 | 09664 | 03966]
00180, Male, Children, 2%, Student, Primary, false, [01189]
00181, Male, Children, 17%, Student, Secondary, false, [03404]
00182, Female, Senior Citizen, 56%, Retired, null, false, [07444 | 06188 | 03994 | 09293 | 04325]
00183, Female, Senior Citizen, 31%, Retired, null, false, [08654 | 04066 | 09605 | 02063]
00184, Female, Senior Citizen, 21%, Retired, null, false, [02440 | 00302 | 03913 | 00907 | 01795 | 04804]
00185, Female, Senior Citizen, 70%, Retired, null, false, [04895]
00186, Male, Children, 28%, Student, Primary, false, [00852 | 00111 | 01613 | 00105]
00187, Female, Adult, 31%, Clerk, IKEY, false, [07836 | 09627 | 03922]
00188, Female, Senior Citizen, 12%, Retired, null, false, [09785 | 05404 | 01266 | 03896 | 09250]
00189, Female, Children, 25%, Student, Kindergarden, false, [05151]
00190, Female, Adult, 28%, Policeman, Police Station, false, [05932]
00191, Male, Children, 12%, Student, Secondary, false, [09368 | 00628]
00192, Male, Senior Citizen, 23%, Retired, null, false, [02115 | 01911 | 09350 | 00055]
00193, Male, Adult, 35%, Housemaker, null, false, [04744 | 03677 | 00796 | 09600 | 03911 | 00791]
00194, Female, Senior Citizen, 11%, Retired, null, false, [02592 | 00005 | 02302 | 01746 | 03057]
00195, Female, Adult, 35%, Policeman, Police Station, false, [07305 | 06021 | 03740 | 08558 | 06741]
00196, Male, Children, 28%, Student, Secondary, false, []
00197, Female, Children, 20%, Student, Secondary, false, [03059 | 04299]
00198, Male, Senior Citizen, 65%, Retired, null, false, [01874 | 00638 | 03031 | 00253]
00199, Female, Children, 20%, Student, Secondary, false, [08377]
00200, Female, Children, 12%, Student, Secondary, false, [02816 | 06058 | 02080 | 07968 | 08397]
00201, Female, Children, 27%, Student, Secondary, false, [07292]
00202, Female, Adult, 43%, Firefighter, Fire Station, false, [05572 | 03410 | 00685 | 09653 | 04108]
00203, Male, Senior Citizen, 64%, Retired, null, false, [05316 | 00449 | 00326 | 01184]
00204, Female, Children, 12%, Student, Kindergarden, false, [03297 | 09677]
00205, Female, Senior Citizen, 50%, Retired, null, false, []
00206, Male, Children, 0%, Student, Secondary, false, [07191 | 00806]
00207, Female, Children, 29%, Student, Secondary, false, [03306 | 00434 | 03333 | 09111 | 01352 | 01203]
00208, Female, Adult, 21%, Medic, Pharmarcy, true, [07312 | 06586 | 09336]
00209, Male, Senior Citizen, 52%, Retired, null, false, [06905 | 03392 | 09922 | 03037]
00210, Male, Senior Citizen, 54%, Retired, null, false, [02955 | 00221 | 09570 | 01535 | 00114]
00211, Male, Adult, 19%, Firefighter, Fire Station, false, [09073 | 01573]
00212, Male, Senior Citizen, 56%, Retired, null, false, [08426 | 05304 | 03081 | 02698 | 00327 | 08013 | 00154]
00213, Male, Children, 14%, Student, Secondary, false, [05941]
00214, Female, Adult, 12%, Chef, Moonlings, false, [06439 | 01183 | 03524 | 01055 | 02946 | 02807]
00215, Male, Adult, 24%, Policeman, Police Station, false, [02136 | 08425 | 05406]
00216, Male, Adult, 27%, Shopping Centre Retailer, Moonlings, false, [08319 | 05764 | 09739]
00217, Male, Senior Citizen, 70%, Retired, null, false, [07346 | 09436 | 02507]
00218, Female, Children, 26%, Student, Secondary, false, [04264]
00219, Female, Adult, 37%, Policeman, Police Station, false, [05923 | 01758 | 00987 | 06672 | 01438]
00220, Female, Adult, 30%, Housemaker, null, false, [09908 | 01609 | 02239 | 02050 | 03860]
00221, Male, Children, 8%, Student, Secondary, false, [09461 | 01565 | 00620 | 00472 | 00339 | 00210 | 06447 | 03169]
00222, Male, Adult, 18%, Teacher, Secondary, false, [02103 | 01297 | 09755]
00223, Female, Adult, 37%, Barista, IKEY, false, [07370 | 02925 | 02842 | 03466 | 07373 | 01233]
00224, Male, Adult, 9%, Cashier, KTM Station, false, [05238 | 05893 | 01274]
00225, Female, Adult, 42%, Engineer, Orange, false, [02688 | 05056 | 00928]
00226, Female, Adult, 27%, Manager, GayaGrocery, false, [08793]
00227, Female, Adult, 8%, Accountant, AccSol, false, [06869 | 01014 | 00602 | 09351]
00228, Female, Adult, 32%, Medic, Hospital, true, []
00229, Female, Adult, 44%, Accountant, JanBank, false, [06334]
00230, Male, Adult, 41%, Manager, Pharmarcy, true, [04321 | 01141 | 09980 | 08190]
00231, Male, Adult, 11%, Teacher, Secondary, false, [02535 | 00848]
00232, Male, Children, 0%, Student, Secondary, false, [04586 | 01250 | 07374 | 02944]
00233, Female, Senior Citizen, 54%, Retired, null, false, [04454 | 04099 | 02753]
00234, Female, Adult, 32%, Waiter, Moonlings, false, [02246 | 09150 | 09920]
00235, Male, Senior Citizen, 61%, Retired, null, false, [01867 | 03736 | 03652 | 08801 | 09729]
00236, Male, Adult, 45%, Shopping Centre Retailer, Moonlings, false, []
00237, Female, Senior Citizen, 63%, Retired, null, false, [09585 | 05453 | 05001 | 01659 | 01038 | 00920]
00238, Male, Children, 26%, Student, Primary, false, [06873 | 00706 | 01084]
00239, Male, Senior Citizen, 34%, Retired, null, false, [09832]
00240, Female, Children, 27%, Student, Secondary, false, [05690 | 04318 | 00919 | 01345 | 09457 | 05674]
00241, Male, Adult, 33%, Firefighter, Fire Station, false, [08433 | 05532 | 09964 | 04199 | 02023]
00242, Female, Senior Citizen, 49%, Retired, null, false, [04856 | 02227 | 00350 | 09701 | 09916]
00243, Male, Children, 7%, Student, Secondary, false, [01565 | 01555]
00244, Female, Children, 29%, Student, Secondary, false, [07367]
00245, Female, Senior Citizen, 32%, Retired, null, false, [08483 | 04045 | 02796 | 00675 | 09733 | 00449 | 00776 | 09401]
00246, Female, Children, 21%, Student, Secondary, false, [07991 | 05659]
00247, Male, Adult, 9%, Cashier, Fibre, false, [04107 | 05211]
00248, Female, Children, 0%, Student, Secondary, false, [07903 | 02919 | 05164 | 05349 | 07022]
00249, Male, Adult, 50%, Shopping Centre Retailer, 2 Akhir, false, [01390 | 00607 | 00602 | 04992 | 00399]
00250, Male, Children, 28%, Student, Secondary, false, [03544 | 07887]
00251, Female, Children, 30%, Student, Secondary, false, [02742 | 02201 | 02776]
00252, Female, Adult, 24%, Barista, MoonBucks, false, [08919 | 08156 | 02682 | 06665 | 03221 | 02015 | 02006]
00253, Female, Senior Citizen, 69%, Retired, null, false, [00736 | 00198]
00254, Female, Children, 1%, Student, Primary, false, [00816]
00255, Male, Children, 30%, Student, Secondary, false, [08218 | 02421 | 02572 | 09726]
00256, Male, Adult, 44%, Engineer, AccSol, false, [09251 | 07885 | 02013 | 07231 | 01264 | 09485]
00257, Female, Children, 8%, Student, Secondary, false, [07857 | 02509 | 07863]
00258, Male, Adult, 43%, Medic, Hospital, true, [02761 | 06665]
00259, Female, Children, 3%, Student, Secondary, false, [09241 | 03131]
00260, Female, Children, 0%, Student, Secondary, false, [07951 | 08375 | 01309]
00261, Female, Adult, 43%, Engineer, KTM Station, false, [09171 | 03659 | 00738]
00262, Female, Senior Citizen, 43%, Retired, null, false, [06920 | 01498 | 00737]
00263, Male, Senior Citizen, 67%, Retired, null, false, [09940 | 05353 | 03019 | 03615 | 08882 | 09712]
00264, Male, Children, 27%, Student, Secondary, false, [07707]
00265, Female, Adult, 23%, Housemaker, null, false, [00611 | 00587 | 03640]
00266, Female, Adult, 49%, Manager, MoonBucks, false, [03164 | 02892 | 03766 | 05072 | 08859]
00267, Female, Adult, 18%, Waiter, Moonlings, false, [02497 | 03044 | 05242 | 01123]
00268, Male, Adult, 26%, Chef, 2 Akhir, false, []
00269, Male, Children, 24%, Student, Secondary, false, [03173 | 02585 | 01948 | 09350 | 03751 | 01906]
00270, Male, Children, 17%, Student, Secondary, false, []
00271, Female, Senior Citizen, 45%, Retired, null, false, [01213 | 04452 | 03824 | 00674 | 02266]
00272, Female, Children, 9%, Student, Secondary, false, [03956 | 00761 | 02334 | 07081]
00273, Female, Children, 20%, Student, Secondary, false, [08552 | 07142 | 06346 | 00945 | 00827]
00274, Female, Adult, 22%, Shopping Centre Retailer, IKEY, false, [01524]
00275, Male, Senior Citizen, 58%, Retired, null, false, [02538 | 02247 | 02044 | 00141]
00276, Female, Senior Citizen, 36%, Retired, null, false, [04202 | 02547 | 02319 | 00000]
00277, Female, Senior Citizen, 25%, Retired, null, false, [01186 | 00925 | 00598 | 00154]
00278, Female, Adult, 13%, Accountant, AccSol, false, [07630 | 01239 | 00476 | 02578 | 08037]
00279, Male, Senior Citizen, 11%, Retired, null, false, [02125 | 01263 | 09591 | 04409 | 06707 | 00033]
00280, Female, Senior Citizen, 27%, Retired, null, false, [09683 | 02495 | 02421 | 09608]
00281, Male, Children, 13%, Student, Secondary, false, [04265 | 05222 | 09630 | 01705]
00282, Female, Children, 21%, Student, Secondary, false, [07272 | 07242 | 06192]
00283, Female, Children, 20%, Student, Primary, false, [05965]
00284, Female, Adult, 31%, Baker, 2 Akhir, false, []
00285, Female, Children, 17%, Student, Secondary, false, [08070 | 00010]
00286, Male, Adult, 27%, Accountant, JanBank, false, [07572 | 04201 | 05030 | 05286]
00287, Male, Adult, 33%, Teacher, Primary, false, [07482 | 05976 | 03325]
00288, Male, Adult, 32%, Housemaker, null, false, [06999 | 04753 | 01722 | 09391]
00289, Female, Children, 7%, Student, Secondary, false, [07037 | 00601]
00290, Male, Senior Citizen, 22%, Retired, null, false, [02610 | 04468]
00291, Male, Senior Citizen, 52%, Retired, null, false, [05005 | 04209 | 09674 | 01706 | 03014]
00292, Male, Children, 21%, Student, Secondary, false, []
00293, Female, Adult, 9%, Barista, IKEY, false, [08505 | 03205]
00294, Female, Children, 18%, Student, Secondary, false, [02087 | 02904 | 01920]
00295, Male, Senior Citizen, 55%, Retired, null, false, [09960 | 06982 | 06805 | 09863]
00296, Female, Children, 14%, Student, Secondary, false, [07480 | 03217 | 05122 | 06326 | 07498 | 04263]
00297, Male, Children, 25%, Student, Primary, false, [04192 | 06318]
00298, Female, Adult, 19%, Teacher, Kindergarden, false, [04837 | 04338 | 06752 | 04843]
00299, Female, Senior Citizen, 39%, Retired, null, false, [09171 | 06853 | 06456 | 02876 | 00833 | 01249 | 09692 | 09992]
00300, Male, Children, 1%, Student, Secondary, false, [02293 | 00799 | 07626 | 01781]
00301, Female, Senior Citizen, 37%, Retired, null, false, [09625 | 01200 | 00719 | 07905 | 01771]
00302, Male, Senior Citizen, 33%, Retired, null, false, [05005 | 00588 | 00184 | 01208]
00303, Female, Senior Citizen, 58%, Retired, null, false, [09867 | 07576 | 00745 | 08398 | 04617]
00304, Male, Senior Citizen, 26%, Retired, null, false, [06730 | 02645 | 00071 | 00008 | 09779 | 09177]
00305, Female, Adult, 8%, Engineer, Petrocad, false, [07309]
00306, Female, Senior Citizen, 25%, Retired, null, false, [01314 | 01247 | 00404 | 02832]
00307, Female, Senior Citizen, 38%, Retired, null, false, [09959 | 07382 | 03383 | 09033 | 09153 | 01095]
00308, Female, Senior Citizen, 66%, Retired, null, false, [03474 | 02929]
00309, Male, Adult, 17%, Engineer, Petrocad, false, [07876 | 03194 | 03168 | 02920 | 02157 | 00571]
00310, Male, Adult, 38%, Policeman, Police Station, false, [08842]
00311, Male, Children, 22%, Student, Secondary, false, [07360 | 09765 | 00666]
00312, Female, Children, 16%, Student, Primary, false, [05661 | 09790 | 08932 | 01998]
00313, Female, Senior Citizen, 27%, Retired, null, false, [06097 | 01804 | 04219 | 03696 | 09939]
00314, Female, Senior Citizen, 60%, Retired, null, false, [04377 | 02775 | 08167]
00315, Male, Senior Citizen, 27%, Retired, null, false, [05916 | 03313 | 01667 | 00552 | 09584]
00316, Male, Children, 22%, Student, Primary, false, [03063 | 01894 | 01274 | 09055 | 09086 | 07811]
00317, Male, Senior Citizen, 25%, Retired, null, false, [09363 | 08760]
00318, Female, Senior Citizen, 13%, Retired, null, false, [03645 | 05161 | 09382 | 03786]
00319, Female, Senior Citizen, 25%, Retired, null, false, [09977 | 05802 | 02346 | 00036]
00320, Female, Adult, 36%, Manager, Ali's Nasi Kandar, false, [07478 | 02287 | 01940 | 03003]
00321, Female, Senior Citizen, 62%, Retired, null, false, [07521 | 03592 | 09439]
